StatDate,Panoramas,Panoramas_views,Photos,Photos_views,Reviews_views
06.08.2020,,42299332,,42831800,114445
05.08.2020,,42224223,,42732857,
16.07.2020,,41527060,,41961633,
08.07.2020,,41165168,,41695950,
26.06.2020,,40804727,,41291243,
23.06.2020,,40667269,,41168098,
18.06.2020,,40512182,,40953906,
16.06.2020,14420,40448477,15234,40937113,
28.05.2020,14205,39908157,15234,40391202,
22.05.2020,14205,39722398,15234,40215310,
19.05.2020,14205,39632341,15234,40171300,
05.05.2020,14205,39040910,15234,39508296,
23.04.2020,14205,38751095,15234,39154334,
17.04.2020,14205,38446142,15234,38949922,
10.04.2020,14205,38090112,15234,38434461,
09.04.2020,14205,38039054,15234,38406389,
30.03.2020,14205,37674867,15234,,
29.03.2020,14205,37628001,15234,38023459,
27.03.2020,14205,37553981,15234,37949101,
24.03.2020,14205,37434372,15234,37825228,
21.03.2020,14205,37315779,15234,37741541,
20.03.2020,14205,37282648,15234,37669518,
19.03.2020,14205,37246222,15234,37618521,
16.03.2020,14205,37129030,15234,37507411,
13.03.2020,14205,36938630,15234,37332151,
12.03.2020,14205,36896191,15234,37326778,
10.03.2020,14205,36825896,15234,37250310,
05.03.2020,14198,36583923,15234,37000892,
02.03.2020,14198,36419079,15234,36836050,
26.02.2020,12086,36157909,13088,36621414,
12.02.2020,11648,35600634,12737,36062453,
07.02.2020,11572,35307572,12595,35690342,
04.02.2020,11572,35092723,12595,35449047,
27.01.2020,11572,33665486,12595,33953177,
15.01.2020,11237,32887147,12564,33463345,
05.11.2019,11811,29631157,12562,30040925,
04.11.2019,11811,29574572,12562,29930210,
29.10.2019,11811,29344184,12562,29815756,
23.10.2019,11811,29101708,12562,29506656,
22.10.2019,11811,29037491,12562,29489320,
20.10.2019,11811,28951291,12562,29394993,
14.10.2019,11811,28807079,12562,29124802,
09.10.2019,11811,28563782,12562,28965711,
08.10.2019,11811,28529706,12562,28928669,
07.10.2019,11811,28497059,12562,#VALUE!,
06.10.2019,11811,28448498,12562,28628112,
02.10.2019,11417,28346318,12160,28480075,
25.09.2019,11417,27950781,12160,28377502,
23.09.2019,11417,27839058,12160,28245752,
